No.,"(x,y)",1,2,3
596,"11,18",-62,-56,-41
597,"11,18",-62,-57,-45
598,"9,18",-61,-49,-49
599,"9,18",-59,-50,-47
600,"9,18",-64,-47,-45
601,"9,18",-65,-50,-47
602,"9,18",-63,-50,-48
603,"9,18",-63,-51,-45
604,"9,18",-63,-52,-45
605,"9,18",-61,-52,-50
606,"9,18",-60,-52,-46
607,"9,18",-60,-47,-47
608,"9,18",-60,-46,-47
609,"9,18",-61,-47,-48
610,"9,18",-61,-47,-51
611,"8,19",-60,-42,-47
612,"8,19",-60,-46,-45
613,"8,19",-58,-48,-41
614,"8,19",-64,-47,-48
615,"8,19",-64,-48,-43
616,"8,19",-64,-44,-49
617,"8,19",-59,-44,-41
618,"8,19",-57,-65,-51
619,"8,19",-57,-46,-41
620,"8,19",-57,-45,-43
621,"8,19",-55,-42,-40
622,"8,19",-57,-45,-41
623,"8,19",-58,-43,-39
624,"9,20",-53,-44,-47
625,"9,20",-54,-44,-47
626,"9,20",-54,-47,-47
627,"9,20",-54,-47,-50
628,"9,20",-54,-50,-51
629,"9,20",-54,-49,-51
630,"9,20",-54,-49,-50
631,"9,20",-55,-45,-47
632,"9,20",-53,-44,-47
633,"9,20",-53,-45,-47
634,"9,20",-53,-47,-47
635,"9,20",-54,-44,-47
636,"9,20",-53,-50,-47
637,"10,21",-59,-47,-48
638,"10,21",-65,-44,-55
639,"10,21",-61,-44,-48
640,"10,21",-61,-44,-49
641,"10,21",-67,-45,-56
642,"10,21",-67,-44,-51
643,"10,21",-62,-45,-51
644,"10,21",-62,-44,-51
645,"10,21",-62,-48,-52
646,"10,21",-62,-45,-53
647,"10,21",-62,-45,-53
648,"10,21",-63,-45,-54
649,"10,21",-64,-42,-50
650,"11,20",-67,-53,-48
651,"11,20",-63,-47,-56
652,"11,20",-69,-46,-50
653,"11,20",-63,-49,-60
654,"11,20",-72,-51,-48
655,"11,20",-68,-53,-52
656,"11,20",-67,-55,-52
657,"11,20",-66,-53,-42
658,"11,20",-70,-54,-44
659,"11,20",-70,-51,-42
660,"11,20",-68,-53,-44
661,"11,20",-63,-49,-43
662,"11,20",-63,-58,-46
663,"12,19",-69,-52,-46
664,"12,19",-65,-43,-51
665,"12,19",-66,-46,-50
666,"12,19",-65,-46,-60
667,"12,19",-65,-45,-54
668,"12,19",-61,-55,-58
669,"12,19",-61,-55,-49
670,"12,19",-70,-55,-52
671,"12,19",-68,-49,-53
672,"12,19",-72,-52,-48
673,"12,19",-67,-48,-47
674,"12,19",-69,-52,-50
675,"12,19",-69,-52,-61
676,"13,22",-60,-51,-45
677,"13,22",-60,-50,-50
678,"13,22",-65,-46,-58
679,"13,22",-62,-46,-54
680,"13,22",-61,-50,-52
681,"13,22",-56,-47,-50
682,"13,22",-57,-52,-52
683,"13,22",-62,-48,-48
684,"13,22",-61,-48,-48
685,"13,22",-63,-43,-50
686,"13,22",-61,-45,-54
687,"13,22",-59,-47,-52
688,"13,22",-65,-48,-54
689,"11,22",-57,-51,-48
690,"11,22",-57,-52,-45
691,"11,22",-62,-48,-44
692,"11,22",-60,-48,-43
693,"11,22",-60,-48,-43
694,"11,22",-60,-48,-43
695,"11,22",-61,-51,-43
696,"11,22",-61,-51,-43
697,"11,22",-61,-51,-47
698,"11,22",-66,-53,-49
699,"11,22",-60,-53,-47
700,"11,22",-62,-47,-47
701,"11,22",-63,-47,-48
702,"10,23",-61,-48,-58
703,"10,23",-61,-46,-51
704,"10,23",-62,-45,-50
705,"10,23",-62,-46,-50
706,"10,23",-61,-52,-48
707,"10,23",-66,-44,-52
708,"10,23",-63,-45,-50
709,"10,23",-63,-46,-51
710,"10,23",-60,-44,-47
711,"10,23",-62,-44,-45
712,"10,23",-62,-53,-52
713,"10,23",-58,-56,-51
714,"10,23",-57,-46,-50
715,"13,24",-62,-43,-53
716,"13,24",-72,-46,-53
717,"13,24",-74,-45,-53
718,"13,24",-71,-44,-49
719,"13,24",-71,-45,-57
720,"13,24",-69,-45,-59
721,"13,24",-61,-47,-59
722,"13,24",-63,-53,-55
723,"13,24",-72,-46,-54
724,"13,24",-64,-52,-52
725,"13,24",-75,-54,-50
726,"13,24",-68,-53,-53
727,"13,24",-66,-53,-55
728,"13,24",-67,-53,-52
729,"13,24",-70,-45,-51
730,"12,25",-67,-51,-46
731,"12,25",-65,-42,-52
732,"12,25",-62,-56,-50
733,"12,25",-66,-48,-56
734,"12,25",-67,-44,-54
735,"12,25",-62,-51,-54
736,"12,25",-63,-43,-57
737,"12,25",-67,-40,-57
738,"12,25",-64,-48,-51
739,"12,25",-64,-50,-55
740,"12,25",-66,-40,-52
741,"12,25",-60,-43,-51
742,"12,25",-66,-44,-47
743,"10,26",-63,-43,-51
744,"10,26",-66,-42,-47
745,"10,26",-69,-42,-47
746,"10,26",-69,-42,-52
747,"10,26",-69,-42,-50
748,"10,26",-66,-41,-51
749,"10,26",-66,-41,-50
750,"10,26",-67,-44,-53
751,"10,26",-66,-48,-52
752,"10,26",-68,-48,-51
753,"10,26",-68,-42,-51
754,"10,26",-67,-47,-52
755,"10,26",-66,-47,-53
756,"12,27",-77,-43,-50
757,"12,27",-77,-44,-50
758,"12,27",-79,-47,-49
759,"12,27",-79,-45,-51
760,"12,27",-79,-49,-50
761,"12,27",-75,-49,-50
762,"12,27",-76,-44,-50
763,"12,27",-71,-44,-58
764,"12,27",-72,-47,-53
765,"12,27",-75,-50,-53
766,"12,27",-75,-47,-52
767,"12,27",-79,-43,-50
768,"12,27",-72,-46,-49
769,"12,27",-72,-45,-50
770,"12,27",-70,-45,-52
771,"12,27",-69,-41,-49
772,"12,27",-70,-41,-53
773,"11,28",-69,-42,-54
774,"11,28",-64,-45,-54
775,"11,28",-71,-45,-48
776,"11,28",-68,-45,-48
777,"11,28",-67,-48,-49
778,"11,28",-67,-42,-52
779,"11,28",-67,-48,-52
780,"11,28",-68,-43,-48
781,"11,28",-65,-44,-51
782,"11,28",-63,-42,-53
783,"11,28",-63,-50,-47
784,"11,28",-63,-46,-50
785,"13,29",-67,-45,-49
786,"13,29",-63,-45,-47
787,"13,29",-63,-45,-47
788,"13,29",-64,-47,-48
789,"13,29",-64,-46,-48
790,"13,29",-64,-46,-48
791,"13,29",-63,-46,-48
792,"13,29",-63,-46,-48
793,"13,29",-63,-46,-48
794,"13,29",-63,-46,-48
795,"13,29",-64,-46,-48
796,"13,29",-63,-44,-48
797,"13,29",-63,-44,-50
798,"13,29",-65,-45,-48
799,"13,29",-66,-44,-48
800,"13,29",-66,-43,-50
801,"13,29",-66,-46,-48
802,"13,29",-67,-46,-50
824,"2,17",-63,-54,-47
825,"2,17",-64,-58,-47
826,"2,17",-59,-61,-35
827,"2,17",-63,-55,-41
828,"2,17",-65,-56,-39
829,"2,17",-65,-55,-32
830,"2,17",-58,-55,-35
831,"2,17",-59,-60,-35
832,"2,17",-61,-60,-40
833,"2,17",-66,-54,-46
834,"2,17",-63,-51,-82
835,"2,17",-63,-57,-45
836,"2,17",-62,-53,-50
837,"2,17",-62,-57,-36
838,"2,17",-71,-53,-33
839,"2,17",-62,-53,-33
840,"2,17",-63,-56,-33
841,"2,17",-67,-51,-35
842,"5,17",-65,-49,-46
843,"5,17",-59,-40,-34
844,"5,17",-59,-46,-34
845,"5,17",-64,-45,-36
846,"5,17",-63,-50,-41
847,"5,17",-59,-44,-37
848,"5,17",-65,-43,-44
849,"5,17",-64,-42,-40
850,"5,17",-67,-46,-35
851,"5,17",-56,-46,-32
852,"5,17",-65,-46,-87
853,"5,17",-63,-45,-31
854,"3,18",-66,-58,-38
855,"3,18",-64,-60,-40
856,"3,18",-65,-57,-39
857,"3,18",-64,-58,-38
858,"3,18",-64,-58,-38
859,"3,18",-64,-58,-38
860,"3,18",-64,-58,-37
861,"3,18",-64,-56,-38
862,"3,18",-62,-55,-36
863,"3,18",-65,-60,-39
864,"3,18",-65,-60,-40
865,"3,18",-63,-58,-42
866,"3,18",-67,-58,-38
867,"3,18",-67,-58,-39
868,"3,18",-69,-59,-38
869,"3,18",-66,-56,-37
870,"3,18",-65,-56,-39
871,"3,18",-64,-56,-38
872,"2,19",-62,-56,-41
873,"2,19",-65,-48,-46
874,"2,19",-62,-48,-41
875,"2,19",-64,-48,-41
876,"2,19",-65,-43,-49
877,"2,19",-65,-43,-48
878,"2,19",-65,-43,-44
879,"2,19",-63,-44,-44
880,"2,19",-62,-44,-44
881,"2,19",-62,-46,-49
882,"2,19",-62,-39,-46
883,"2,19",-66,-39,-48
884,"1,20",-70,-39,-46
886,"1,20",-66,-49,-50
887,"1,20",-72,-49,-47
888,"1,20",-65,-49,-47
889,"1,20",-68,-49,-49
890,"1,20",-59,-49,-47
891,"1,20",-60,-53,-49
892,"1,20",-63,-53,-47
893,"1,20",-61,-51,-50
894,"1,20",-64,-47,-49
895,"1,20",-57,-52,-49
896,"1,20",-61,-52,-50
897,"4,21",-66,-51,-46
898,"4,21",-65,-51,-48
899,"4,21",-56,-51,-49
900,"4,21",-60,-49,-47
901,"4,21",-64,-45,-45
902,"4,21",-56,-43,-43
903,"4,21",-66,-43,-56
904,"4,21",-63,-45,-51
905,"4,21",-62,-48,-47
906,"4,21",-62,-48,-48
907,"4,21",-64,-45,-48
908,"4,21",-62,-45,-48
909,"4,21",-59,-45,-50
910,"2,22",-62,-51,-42
911,"2,22",-66,-51,-43
912,"2,22",-66,-51,-44
913,"2,22",-68,-53,-49
914,"2,22",-64,-54,-40
915,"2,22",-68,-54,-48
916,"2,22",-66,-49,-49
917,"2,22",-72,-50,-55
918,"2,22",-71,-57,-54
919,"2,22",-71,-53,-49
920,"2,22",-73,-51,-54
921,"2,22",-70,-49,-49
922,"2,22",-66,-49,-52
923,"1,23",-76,-45,-54
924,"1,23",-73,-43,-56
925,"1,23",-77,-43,-68
926,"1,23",-71,-41,-68
927,"1,23",-71,-41,-54
928,"1,23",-69,-49,-57
929,"1,23",-74,-42,-50
930,"1,23",-74,-42,-57
931,"1,23",-73,-36,-56
932,"1,23",-73,-39,-56
933,"1,23",-74,-41,-61
934,"1,23",-77,-44,-59
935,"1,23",-70,-44,-55
936,"2,26",-67,-48,-50
937,"2,26",-66,-51,-48
938,"2,26",-65,-48,-49
939,"2,26",-66,-49,-48
940,"2,26",-67,-47,-47
941,"2,26",-64,-46,-47
942,"2,26",-66,-47,-54
943,"2,26",-66,-45,-51
944,"2,26",-68,-52,-50
945,"2,26",-69,-52,-53
946,"2,26",-65,-49,-49
947,"2,26",-64,-47,-52
948,"2,26",-65,-47,-52
949,"3,25",-65,-48,-51
950,"3,25",-69,-46,-50
951,"3,25",-65,-46,-52
952,"3,25",-66,-45,-51
953,"3,25",-65,-44,-53
954,"3,25",-64,-44,-51
955,"3,25",-62,-45,-54
956,"3,25",-65,-47,-54
957,"3,25",-64,-46,-53
958,"3,25",-64,-46,-54
959,"3,25",-64,-45,-53
960,"3,25",-64,-45,-54
961,"3,25",-68,-46,-54
962,"2,26",-69,-52,-52
963,"2,26",-66,-45,-49
964,"2,26",-65,-44,-49
965,"2,26",-70,-46,-64
966,"2,26",-69,-45,-64
967,"2,26",-70,-43,-62
968,"2,26",-70,-43,-54
969,"2,26",-69,-44,-59
970,"2,26",-70,-44,-58
971,"2,26",-69,-44,-58
972,"2,26",-69,-44,-55
973,"2,26",-72,-43,-55
988,"3,28",-73,-48,-51
989,"3,28",-71,-47,-52
990,"3,28",-72,-47,-52
991,"3,28",-72,-47,-54
992,"3,28",-74,-48,-54
993,"3,28",-74,-49,-53
994,"3,28",-74,-49,-54
995,"3,28",-74,-49,-53
996,"3,28",-74,-48,-54
997,"3,28",-74,-48,-54
998,"3,28",-74,-50,-51
999,"3,28",-74,-49,-49
1000,"3,28",-73,-49,-50
1001,"3,28",-73,-49,-52
1003,"1,29",-72,-49,-59
1004,"1,29",-65,-50,-59
1005,"1,29",-65,-47,-58
1006,"1,29",-67,-50,-57
1007,"1,29",-71,-48,-58
1008,"1,29",-64,-48,-59
1009,"1,29",-66,-52,-59
1010,"1,29",-66,-48,-60
1011,"1,29",-64,-48,-59
1012,"1,29",-65,-47,-58
1013,"1,29",-65,-47,-58
1014,"1,29",-65,-47,-58
1015,"1,29",-70,-48,-59
1016,"3,29",-64,-48,-59
1017,"3,29",-65,-51,-59
1018,"3,29",-65,-47,-60
1019,"3,29",-65,-51,-63
1020,"3,29",-65,-52,-62
1021,"3,29",-64,-53,-61
1022,"3,29",-64,-51,-57
1023,"3,29",-64,-51,-58
1024,"3,29",-63,-50,-58
1025,"3,29",-64,-50,-57
1026,"3,29",-64,-50,-59
1027,"3,29",-63,-51,-67
1028,"3,29",-63,-51,-59
1030,"6,28",-71,-34,-55
1031,"6,28",-72,-35,-55
1032,"6,28",-72,-34,-54
1033,"6,28",-72,-33,-60
1034,"6,28",-72,-38,-60
1035,"6,28",-72,-38,-54
1036,"6,28",-62,-38,-52
1037,"6,28",-65,-36,-52
1038,"6,28",-71,-36,-53
1039,"6,28",-65,-36,-48
1040,"6,28",-71,-33,-52
1041,"7,27",-68,-44,-54
1042,"7,27",-64,-40,-57
1043,"7,27",-65,-40,-53
1044,"7,27",-65,-43,-54
1045,"7,27",-67,-43,-58
1046,"7,27",-68,-46,-54
1047,"7,27",-68,-43,-57
1048,"7,27",-67,-44,-57
1049,"7,27",-65,-40,-55
1050,"7,27",-65,-43,-57
1051,"7,27",-65,-44,-56
1052,"7,27",-64,-42,-59
1053,"7,27",-68,-49,-54
1054,"9,28",-67,-36,-52
1055,"9,28",-66,-36,-55
1056,"9,28",-65,-35,-49
1057,"9,28",-65,-41,-55
1058,"9,28",-61,-41,-52
1059,"9,28",-64,-40,-51
1060,"9,28",-64,-37,-50
1061,"9,28",-63,-45,-51
1062,"9,28",-63,-39,-58
1063,"9,28",-66,-37,-54
1064,"9,28",-64,-41,-59
1065,"9,28",-64,-41,-56
1066,"9,28",-67,-39,-54
1067,"8,26",-61,-43,-52
1068,"8,26",-62,-40,-48
1069,"8,26",-62,-42,-55
1070,"8,26",-60,-41,-53
1071,"8,26",-63,-41,-53
1072,"8,26",-62,-46,-53
1073,"8,26",-66,-46,-51
1074,"8,26",-66,-43,-52
1075,"8,26",-63,-47,-53
1076,"8,26",-63,-48,-48
1077,"8,26",-67,-48,-50
1078,"8,26",-62,-48,-49
1079,"8,26",-61,-42,-50
1080,"5,26",-66,-42,-56
1081,"5,26",-61,-45,-52
1082,"5,26",-54,-53,-58
1083,"5,26",-62,-46,-58
1084,"5,26",-68,-51,-54
1085,"5,26",-60,-51,-52
1086,"5,26",-60,-46,-58
1087,"5,26",-61,-46,-55
1088,"5,26",-61,-45,-55
1089,"5,26",-59,-42,-49
1090,"5,26",-59,-44,-49
1091,"5,26",-61,-56,-49
1092,"5,26",-61,-56,-50
1093,"6,25",-59,-56,-52
1094,"6,25",-65,-39,-54
1095,"6,25",-63,-39,-55
1096,"6,25",-63,-44,-56
1097,"6,25",-70,-43,-60
1098,"6,25",-68,-43,-56
1099,"6,25",-63,-42,-56
1100,"6,25",-62,-43,-56
1101,"6,25",-67,-39,-53
1102,"6,25",-63,-47,-50
1103,"6,25",-63,-47,-48
1104,"6,25",-60,-49,-48
1105,"6,25",-64,-46,-48
1106,"6,25",-64,-48,-50
1107,"6,25",-61,-49,-53
1108,"9,25",-63,-48,-47
1109,"9,25",-63,-43,-53
1110,"9,25",-66,-41,-50
1111,"9,25",-66,-41,-52
1112,"9,25",-65,-43,-52
1113,"9,25",-66,-42,-52
1114,"9,25",-66,-42,-53
1115,"9,25",-66,-42,-53
1116,"9,25",-66,-40,-51
1117,"9,25",-66,-41,-52
1118,"9,25",-66,-44,-51
1119,"9,25",-66,-52,-51
1120,"9,25",-64,-46,-51
1121,"7,24",-62,-42,-51
1122,"7,24",-62,-46,-51
1123,"7,24",-62,-44,-54
1125,"7,24",-63,-43,-51
1126,"7,24",-63,-42,-55
1127,"7,24",-61,-42,-55
1128,"7,24",-65,-41,-53
1129,"7,24",-62,-43,-53
1130,"7,24",-62,-42,-50
1131,"7,24",-64,-41,-50
1132,"7,24",-65,-43,-52
1133,"7,24",-63,-45,-52
1134,"7,24",-59,-40,-52
1135,"8,23",-59,-50,-52
1136,"8,23",-65,-48,-55
1137,"8,23",-65,-51,-55
1138,"8,23",-72,-49,-55
1139,"8,23",-68,-49,-56
1140,"8,23",-68,-60,-56
1141,"8,23",-68,-51,-54
1142,"8,23",-68,-51,-55
1143,"8,23",-65,-67,-51
1144,"8,23",-65,-67,-54
1145,"8,23",-65,-46,-54
1146,"8,23",-65,-46,-54
1147,"8,23",-66,-48,-56
1148,"6,22",-60,13,-56
1149,"6,22",-58,13,-56
1150,"6,22",-59,13,-57
1151,"6,22",-57,13,-57
1152,"6,22",-57,13,-55
1153,"6,22",-58,13,-55
1154,"6,22",-58,13,-58
1155,"6,22",-58,13,-58
1156,"6,22",-58,13,-57
1157,"6,22",-60,13,-54
1158,"6,22",-63,13,-56
1159,"6,22",-58,13,-53
1160,"6,22",-59,13,-55
1161,"8,21",-59,-47,-55
1162,"8,21",-60,-58,-47
1163,"8,21",-59,-58,-45
1164,"8,21",-61,-55,-47
1165,"8,21",-61,-57,-47
1166,"8,21",-61,-51,-49
1167,"8,21",-63,-49,-49
1168,"8,21",-63,-58,-48
1169,"8,21",-59,-58,-47
1170,"8,21",-61,-47,-48
1171,"8,21",-61,-47,-46
1172,"8,21",-63,-47,-49
1173,"8,21",-61,-47,-49
1174,"7,20",-61,-51,-46
1175,"7,20",-64,-47,-49
1176,"7,20",-64,-51,-46
1177,"7,20",-64,-54,-46
1178,"7,20",-62,-49,-49
1179,"7,20",-62,-51,-47
1180,"7,20",-62,-51,-48
1181,"7,20",-62,-49,-46
1182,"7,20",-62,-46,-46
1183,"7,20",-64,-46,-43
1184,"7,20",-64,-46,-44
1185,"7,20",-65,-49,-43
1186,"7,20",-64,-49,-43
1187,"5,19",-63,-51,-42
1188,"5,19",-62,-48,-43
1189,"5,19",-63,-49,-42
1190,"5,19",-64,-49,-42
1191,"5,19",-60,-53,-42
1192,"5,19",-60,-52,-42
1193,"5,19",-60,-54,-41
1194,"5,19",-65,-46,-41
1195,"5,19",-64,-50,-42
1196,"5,19",-64,-49,-41
1197,"5,19",-64,-47,-45